from_pretrained,input_seg_size,input_seq_len,num_mem_tokens,lr,lr_scheduler,sum_loss,f1,best_valid_f1,f1_std,n_runs,runs
microsoft/deberta-v3-base,256.0,486,10.0,5e-05,linear,False,0.9622475504875183,0.8150151371955872,0.02549221542005467,8,"[0.98, 0.96, 0.98, 0.92, 0.98, 0.96, 0.98, 0.92]"
microsoft/deberta-v3-base,256.0,972,10.0,1e-05,constant_with_warmup,False,0.9554910262425741,0.8537179430325826,0.009368603857240951,6,"[0.96, 0.94, 0.96, 0.96, 0.94, 0.96]"
microsoft/deberta-v3-base,256.0,972,10.0,1e-05,linear,False,0.9554910262425741,0.8551633954048157,0.009368603857240951,6,"[0.96, 0.94, 0.96, 0.96, 0.94, 0.96]"
microsoft/deberta-v3-base,256.0,972,10.0,5e-05,constant_with_warmup,False,0.930799682935079,0.8835565447807312,0.009840063374010794,6,"[0.92, 0.93, 0.94, 0.92, 0.93, 0.94]"
microsoft/deberta-v3-base,256.0,972,10.0,5e-05,linear,False,0.9317493438720703,0.8900919159253439,0.009021624229140475,6,"[0.93, 0.93, 0.94, 0.93, 0.93, 0.94]"
microsoft/deberta-v3-base,512.0,512,0.0,1e-05,linear,False,0.9411764740943908,0.7820331156253815,0.0,4,"[0.94, 0.94, 0.94, 0.94]"
microsoft/deberta-v3-base,512.0,818,100.0,1e-05,linear,False,0.9537141521771749,0.8640335665808784,0.018832781583639664,18,"[0.94, 0.94, 0.92, 0.98, 0.96, 0.94, 0.94, 0.96, 0.98, 0.94, 0.94, 0.92, 0.98, 0.96, 0.94, 0.94, 0.96, 0.98]"
microsoft/deberta-v3-base,512.0,968,25.0,1e-05,constant_with_warmup,True,0.9713352620601654,0.8972746431827545,0.013854807070440504,2,"[0.96, 0.98]"
microsoft/deberta-v3-base,512.0,998,10.0,1e-05,constant_with_warmup,False,0.940769225358963,0.817279040813446,0.023982216432570407,4,"[0.96, 0.92, 0.96, 0.92]"
microsoft/deberta-v3-base,512.0,998,10.0,1e-05,constant_with_warmup,True,0.9544950127601622,0.8551165262858073,0.023068385651686816,3,"[0.94, 0.94, 0.98]"
microsoft/deberta-v3-base,512.0,998,10.0,1e-05,linear,False,0.9678135514259337,0.8317837715148926,0.020632991379341,6,"[0.98, 0.98, 0.94, 0.98, 0.98, 0.94]"
