task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,segment_ordering,padding_side,model_path,sum_loss,inter_layer_memory,num_steps,best_valid_f1
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,8,2,linear,499,,0.0,regular,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_499-1024_mem0_bs32_iters1600_sl/run_2,True,False,1600,19.22610092163086
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,499,,0.0,regular,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_499-1024_mem0_bs32_iters1600_sl/run_1,True,False,1600,18.668699264526367
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,499,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_499-1024_mem10_bs32_iters1600_sl_bidi/run_2,True,False,1600,17.25629997253418
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,499,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_499-1024_mem10_bs32_iters1600_sl_bidi/run_2,True,False,1600,17.506399154663086
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,499,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_499-1024_mem10_bs32_iters1600_sl_bidi/run_1,True,False,1600,17.335399627685547
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,499,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_499-1024_mem10_bs32_iters1600_sl_bidi/run_1,True,False,1600,17.20199966430664
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,499,,10.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_499-1024_mem10_bs32_iters1600_sl_bidi/run_1,True,False,1600,17.025400161743164
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,486,,25.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_486-1024_mem25_bs32_iters1600_sl_bidi/run_2,True,False,1600,15.570199966430664
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,486,,25.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_486-1024_mem25_bs32_iters1600_sl_bidi/run_2,True,False,1600,17.866899490356445
qasper,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,486,,25.0,repeat_first,,../runs/finetune/debug/qasper/t5-base/lr2e-04_linear_adamw_wd1e-03_486-1024_mem25_bs32_iters1600_sl_bidi/run_1,True,False,1600,16.773399353027344
